,brand,name,price,Dòng xe:,Năm sản xuất:,Số km đã đi:,Động cơ:,Hộp số:,Xuất xứ:,Màu sắc:
160,Toyota, Innova G 2.0MT 2011,506 triệu,Toyota Innova,2011,60.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Vàng cát
161,Toyota, Innova G 2.0MT 2008,345 triệu,Toyota Innova,2008,80.000 km,Xăng 2.0L,Số sàn,Lắp ráp trong nước,Bạc
162,Toyota, Camry Q 2.5AT 2013,"1,120 tỷ",Toyota Camry,2013,30.000 km,Xăng 2.5L,Tự động,Lắp ráp trong nước,Vàng cát
163,Toyota, Camry G 2.5AT 2013,"1,020 tỷ",Toyota Camry,2013,17.000 km,Xăng 2.5L,Tự động,Lắp ráp trong nước,Đen
164,Toyota, Camry G 2.4AT 2007,680 triệu,Toyota Camry,2007,43.000 km,Xăng 2.4L,Tự động,Nhập khẩu,Đen
165,Toyota, Camry G 2.4AT 2010,795 triệu,Toyota Camry,2010,60.000 km,Xăng 2.4L,Tự động,Lắp ráp trong nước,Đen
166,Toyota, Camry Q 3.5AT 2008,660 triệu,Toyota Camry,2008,60.000 km,Xăng 3.5L,Tự động,Lắp ráp trong nước,Đen
167,Toyota, Fortuner V 2.7AT 2011,700 triệu,Toyota Fortuner,2011,98.000 km,Xăng 2.7L,Tự động,Lắp ráp trong nước,Bạc
168,Toyota, Camry G 2.5AT 2013,899 triệu,Toyota Camry,2013,30.000 km,Xăng 2.5L,Tự động,Lắp ráp trong nước,Đen
169,Toyota, Camry G 2.4AT 2008,680 triệu,Toyota Camry,2008,80.000 km,Xăng 2.4L,Tự động,Lắp ráp trong nước,Đen
170,Toyota, Camry Q 2.5AT 2014,"1,090 tỷ",Toyota Camry,2014,37.000 km,Xăng 2.5L,Tự động,Lắp ráp trong nước,Đen
171,Toyota, Camry LE 3.5AT 2007,690 triệu,Toyota Camry,2007,73.000 km,Xăng 3.5L,Tự động,Nhập khẩu,Đen
172,Toyota, Camry XLE 2.5AT 2009,860 triệu,Toyota Camry,2009,70.000 km,Xăng 2.5L,Tự động,Nhập khẩu,Trắng
173,Toyota, Fortuner V 2.7AT 2011,700 triệu,Toyota Fortuner,2011,70.000 km,Xăng 2.7L,Tự động,Lắp ráp trong nước,Bạc
174,Toyota, Vios E 1.5MT 2009,335 triệu,Toyota Vios,2009,64.000 km,Xăng 1.5L,Số sàn,Lắp ráp trong nước,Bạc
175,Toyota, Vios E 1.5MT 2010,363 triệu,Toyota Vios,2010,65.000 km,Xăng ,Số sàn,Lắp ráp trong nước,Đen
176,Toyota, Camry E 2.0AT 2013,895 triệu,Toyota Camry,2013,20.000 km,Xăng 2.0L,Tự động,Nhập khẩu,Vàng cát
177,Toyota, Yaris G 1.3AT 2014,630 triệu,Toyota Yaris,2014,25.000 km,Xăng 1.3L,Tự động,Nhập khẩu,Trắng
178,Ford, Everest 2.5AT 2014,815 triệu,Ford Everest,2014,34.000 km,Diesel 2.5L,Tự động,Lắp ráp trong nước,Trắng
179,Ford, Focus 1.8AT 2011,500 triệu,Ford Focus,2011,50.000 km,Xăng 1.8L,Tự động,Lắp ráp trong nước,Đỏ
180,Ford, Mondeo 2.5AT 2004,250 triệu,Ford Mondeo,2004,130.000 km,Xăng 2.5L,Tự động,Lắp ráp trong nước,Đen
181,Ford, Escape 2.3AT 2007,368 triệu,Ford Escape,2007,76.000 km,Xăng 2.3L,Tự động,Lắp ráp trong nước,Đen
182,Ford, Everest 2.5AT 2014,810 triệu,Ford Everest,2014,21.000 km,Diesel 2.5L,Tự động,Lắp ráp trong nước,Bạc
183,Ford, Ranger XLS 2.2AT 2014,595 triệu,Ford Ranger,2014,18.000 km,Diesel 2.2L,Tự động,Nhập khẩu,Trắng
184,Ford, Escape XLT 2.3AT 2011,630 triệu,Ford Escape,2011,60.000 km,Xăng 2.3L,Tự động,Lắp ráp trong nước,Đỏ Đậm
185,Ford, Focus 2.0AT 2011,475 triệu,Ford Focus,2011,40.000 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Bạc
186,Ford, Escape 2.3AT 2005,290 triệu,Ford Escape,2005,110.000 km,Xăng 2.3L,Tự động,Lắp ráp trong nước,Đen
187,Ford, Focus 2.0AT 2013,650 triệu,Ford Focus,2013,32.000 km,Xăng 2.0L,Tự động,Lắp ráp trong nước,Trắng
